datetime,open_interest,oi_usd
2026-03-20 12:00:00,2225011.179,4762792179.43203
2026-03-20 13:00:00,2230504.353,4773453035.396488
2026-03-20 14:00:00,2238939.604,4761340573.119133
2026-03-20 15:00:00,2231686.568,4749765473.27144
2026-03-20 16:00:00,2225627.875,4747442307.605
2026-03-20 17:00:00,2221944.424,4746806531.32392
2026-03-20 18:00:00,2217533.488,4735875393.6472
2026-03-20 19:00:00,2216368.379,4703998083.90581
2026-03-20 20:00:00,2215224.072,4722237458.76384
2026-03-20 21:00:00,2206831.61,4705163607.3649
2026-03-20 22:00:00,2216361.247,4757862688.9349
2026-03-20 23:00:00,2209630.493,4759168119.281714
2026-03-21 00:00:00,2202029.253,4723813876.502596
2026-03-21 01:00:00,2210190.409,4757368549.66023
2026-03-21 02:00:00,2212618.186,4749642440.399467
2026-03-21 03:00:00,2216943.088,4775627953.0152
2026-03-21 04:00:00,2218500.307,4775241838.441549
2026-03-21 05:00:00,2216290.543,4766819862.78983
2026-03-21 06:00:00,2215062.649,4767506023.2170515
2026-03-21 07:00:00,2214873.829,4772300044.39314
2026-03-21 08:00:00,2215678.764,4773436172.37396
2026-03-21 09:00:00,2212877.913,4764348275.46813
2026-03-21 10:00:00,2212482.69,4773431403.675
2026-03-21 11:00:00,2218917.861,4777818406.861431
2026-03-21 12:00:00,2224520.679,4797267825.09066
2026-03-21 13:00:00,2232862.126,4816216619.91822
2026-03-21 14:00:00,2231398.501,4808440629.8049
2026-03-21 15:00:00,2228841.379,4794376443.617478
2026-03-21 16:00:00,2221343.051,4785328267.61675
2026-03-21 17:00:00,2219232.882,4761586071.6192
2026-03-21 18:00:00,2216761.92,4760277279.300072
2026-03-21 19:00:00,2216009.127,4765575194.515332
2026-03-21 20:00:00,2215321.025,4765598588.98
2026-03-21 21:00:00,2213010.347,4768085703.33579
2026-03-21 22:00:00,2212446.338,4762781615.934313
2026-03-21 23:00:00,2212471.139,4754508085.602101
2026-03-22 00:00:00,2147454.35,4475512757.1133175
2026-03-22 01:00:00,2149497.286,4484410632.781488
2026-03-22 02:00:00,2153727.75,4501269460.2225
2026-03-22 03:00:00,2161821.94,4542370890.346374
2026-03-22 04:00:00,2155451.304,4554209951.19552
2026-03-22 05:00:00,2157774.043,4570985377.21034
2026-03-22 06:00:00,2177493.104,4598887210.57904
2026-03-22 07:00:00,2176287.708,4587211048.596897
2026-03-22 08:00:00,2166739.579,4534920936.65963
2026-03-22 09:00:00,2199880.1,4587365974.928
2026-03-22 10:00:00,2202340.522,4589787764.8741
2026-03-22 11:00:00,2204634.957,4585960861.144782
2026-03-22 12:00:00,2205125.804,4562206827.15364
2026-03-22 13:00:00,2204108.792,4587709832.740847
2026-03-22 14:00:00,2205426.756,4581950519.73048
2026-03-22 15:00:00,2205866.717,4581615078.658771
2026-03-22 16:00:00,2202136.457,4584782039.38029
2026-03-22 17:00:00,2202469.6,4583251138.816
2026-03-22 18:00:00,2200309.328,4573606975.36736
2026-03-22 19:00:00,2187879.022,4531574734.441497
2026-03-22 20:00:00,2192072.529,4520177041.54316
2026-03-22 21:00:00,2190429.459,4506918133.36545
2026-03-22 22:00:00,2159315.599,4415778806.79901
2026-03-22 23:00:00,2171077.526,4475784873.7253
2026-03-23 00:00:00,2168008.689,4451008558.86456
2026-03-23 01:00:00,2172536.487,4437231971.77854
2026-03-23 02:00:00,2173008.586,4447322832.27932
2026-03-23 03:00:00,2166622.23,4469306454.939247
2026-03-23 04:00:00,2166616.164,4444899725.09256
2026-03-23 05:00:00,2158403.633,4456477565.09143
2026-03-23 06:00:00,2162421.159,4473166305.522839
2026-03-23 07:00:00,2161952.972,4402548089.476499
2026-03-23 08:00:00,2158093.852,4410025121.142295
2026-03-23 09:00:00,2158717.237,4418760444.072245
2026-03-23 10:00:00,2157246.444,4406463344.232497
